Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,Final concentration,Capacity
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.726679104,2.277674129
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.652052239,2.899564677
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,360,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.642723881,2.977300995
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,540,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.577425373,3.521455224
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.530783582,3.910136816
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.502798507,4.143345771
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,30,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.754664179,2.044465174
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,60,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.736007463,2.199937811
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.708022388,2.433146766
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.661380597,2.821828358
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,360,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.782649254,1.811256219
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,540,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.54011194,3.832400498
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.512126866,4.065609453
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.521455224,3.987873134
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,30,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.583710407,3.46907994
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,60,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.610859729,3.242835596
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.529411765,3.921568627
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.429864253,4.751131222
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,360,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.438914027,4.67571644
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,540,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.429864253,4.751131222
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.628959276,3.092006033
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.42081448,4.826546003
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,30,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.601809955,3.318250377
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,60,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.56561086,3.619909502
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.520361991,3.996983409
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.447963801,4.600301659
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,360,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.447963801,4.600301659
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,540,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.438914027,4.67571644
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.42081448,4.826546003
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.42081448,4.826546003
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,30,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.547511312,3.770739065
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,60,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.520361991,3.996983409
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.592760181,3.393665158
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.466063348,4.449472097
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,360,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.466063348,4.449472097
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,540,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.411764706,4.901960784
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.42081448,4.826546003
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.411764706,4.901960784
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,30,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.45295203,4.558733087
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,60,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.434501845,4.712484625
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.360701107,5.327490775
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.397601476,5.0199877
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,360,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.342250923,5.481242312
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,540,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.369926199,5.250615006
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.342250923,5.481242312
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,1440,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.33302583,5.558118081
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,30,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.45295203,4.558733087
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,60,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.397601476,5.0199877
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,120,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.416051661,4.866236162
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,180,1,7,150,0.025,0.12,25,0,0,Synthetic,Single,0.388376384,5.096863469
